date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_radius_nm_ne,34kt_wind_radius_nm_se,34kt_wind_radius_nm_nw,34kt_wind_radius_nm_sw,50kt_wind_radius_nm_ne,50kt_wind_radius_nm_se,50kt_wind_radius_nm_nw,50kt_wind_radius_nm_sw,64kt_wind_radius_nm_ne,64kt_wind_radius_nm_se,64kt_wind_radius_nm_nw,64kt_wind_radius_nm_sw,max_wind_radius_nm20001019, 1200,  , TD, 26.2N,  59.9W,  25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001019, 1800,  , TD, 27.5N,  59.4W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001020, 0000,  , TD, 28.7N,  58.8W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001020, 0600,  , TD, 29.7N,  58.0W,  30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001020, 1200,  , TS, 30.4N,  57.2W,  35, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001020, 1800,  , TS, 31.4N,  56.3W,  40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001021, 0000,  , TS, 32.4N,  55.2W,  50,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001021, 0600,  , TS, 33.3N,  53.5W,  50, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001021, 1200,  , TS, 34.1N,  52.3W,  50, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001021, 1800,  , TS, 34.8N,  51.3W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001022, 0000,  , EX, 35.7N,  50.5W,  40, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001022, 0600,  , EX, 37.0N,  49.0W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001022, 1200,  , EX, 39.0N,  47.0W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
